AAAAMMJJHH;Pluie
2015102421;0.0
2015102422;0.0
2015102423;0.0
2015102500;0.0
2015102501;0.0
2015102502;0.0
2015102503;0.0
2015102504;0.0
2015102505;0.0
2015102506;0.0
2015102507;0.0
2015102508;0.0
2015102509;0.0
2015102510;0.0
2015102511;0.0
2015102512;0.0
2015102513;0.0
2015102514;0.0
2015102515;0.0
2015102516;0.0
2015102517;0.0
2015102518;0.0007407407407407408
2015102519;0.0007407407407407408
2015102520;0.0014814814814814816
2015102521;0.0037037037037037034
2015102522;0.0
2015102523;0.0
2015102600;0.0
2015102601;0.0
2015102602;0.0
2015102603;0.0
2015102604;0.0
2015102605;0.0
2015102606;0.0
2015102607;0.0
2015102608;0.0
2015102609;0.0
2015102610;0.0
2015102611;0.0
2015102612;0.0
2015102613;0.0
2015102614;0.0
2015102615;0.0
2015102616;0.0
2015102617;0.0
2015102618;0.0
2015102619;0.0
2015102620;0.0
2015102621;0.0
2015102622;0.0
2015102623;0.0
2015102700;0.0007407407407407408
2015102701;0.0
2015102702;0.0
2015102703;0.0
2015102704;0.0
2015102705;0.0
2015102706;0.0
2015102707;0.0
2015102708;0.0
2015102709;0.05185185185185185
2015102710;0.0325925925925926
2015102711;0.40888888888888886
2015102712;0.3851851851851852
2015102713;0.015555555555555555
2015102714;0.0044444444444444444
2015102715;0.059259259259259255
2015102716;0.2422222222222222
2015102717;0.7362962962962963
2015102718;0.08518518518518518
2015102719;0.4059259259259259
2015102720;0.04444444444444444
2015102721;0.6422222222222222
2015102722;0.3281481481481482
2015102723;0.025925925925925925
2015102800;0.0637037037037037
2015102801;0.642962962962963
2015102802;1.3362962962962963
2015102803;0.02074074074074074
2015102804;0.09111111111111111
2015102805;0.9355555555555556
2015102806;0.5125925925925926
2015102807;1.197037037037037
2015102808;0.0
2015102809;0.5740740740740741
2015102810;0.47703703703703704
2015102811;0.0
2015102812;0.10666666666666666
2015102813;2.779259259259259
2015102814;8.271851851851853
2015102815;2.6333333333333333
2015102816;0.5925925925925926
2015102817;0.0
2015102818;0.0
2015102819;0.0
2015102820;0.0
2015102821;0.0
2015102822;0.0
2015102823;0.0007407407407407408
2015102900;0.0
2015102901;0.0
2015102902;0.0
2015102903;0.0
2015102904;0.0
2015102905;0.0
2015102906;0.0
2015102907;0.0
2015102908;0.0
2015102909;0.0
2015102910;0.0
2015102911;0.0
2015102912;0.0
2015102913;0.0
2015102914;0.0
2015102915;0.0
2015102916;0.0
2015102917;0.0
2015102918;0.0014814814814814816
2015102919;0.0
2015102920;0.0
2015102921;0.0
2015102922;0.0
2015102923;0.0
2015103000;0.0
2015103001;0.0
2015103002;0.0
2015103003;0.0
2015103004;0.0
2015103005;0.0
2015103006;0.0
2015103007;0.0
2015103008;0.0
2015103009;0.0
2015103010;0.0
2015103011;0.0
2015103012;0.0
2015103013;0.0
2015103014;0.0
2015103015;0.0
2015103016;0.0
2015103017;0.0
2015103018;0.0
2015103019;0.0
2015103020;0.0
2015103021;0.0
2015103022;0.0
2015103023;0.0
2015103100;0.0
2015103101;0.0
2015103102;0.0
2015103103;0.0
2015103104;0.0
2015103105;0.0
2015103106;0.0
2015103107;0.0
2015103108;0.0
2015103109;0.0
2015103110;0.0
2015103111;0.0
2015103112;0.0
2015103113;0.0
2015103114;0.0
2015103115;0.0
2015103116;0.0
2015103117;0.0
2015103118;0.0
2015103119;0.0
2015103120;0.0
2015103121;0.0
2015103122;0.0
2015103123;0.0
2015110100;0.0
2015110101;0.0
2015110102;0.0
2015110103;0.0
2015110104;0.0
2015110105;0.0
2015110106;0.0
2015110107;0.0
2015110108;0.0
2015110109;0.0
2015110110;0.0
2015110111;0.0
2015110112;0.0
2015110113;0.0
2015110114;0.0
2015110115;0.0
2015110116;0.0
2015110117;0.0
2015110118;0.0
2015110119;0.0
2015110120;0.0
2015110121;0.0
2015110122;0.0
2015110123;0.0
2015110200;0.0
2015110201;0.0
2015110202;0.0
2015110203;0.0
2015110204;0.0
2015110205;0.0
2015110206;0.0
2015110207;0.0
2015110208;0.0
2015110209;0.0
2015110210;0.0
2015110211;0.0
2015110212;0.0
2015110213;0.0
2015110214;0.0
2015110215;0.0
2015110216;0.0
2015110217;0.0
2015110218;0.0
2015110219;0.0
2015110220;0.0
2015110221;0.0
2015110222;0.0
2015110223;0.0
2015110300;0.0
2015110301;0.0
2015110302;0.0014814814814814816
2015110303;0.01111111111111111
2015110304;0.08666666666666667
2015110305;1.0325925925925925
2015110306;2.892592592592593
2015110307;2.075555555555556
2015110308;1.6162962962962961
2015110309;4.754814814814815
2015110310;1.8674074074074074
2015110311;0.39629629629629626
2015110312;0.522962962962963
2015110313;1.2311111111111113
2015110314;0.045925925925925926
2015110315;0.0
2015110316;0.0
2015110317;0.0
2015110318;0.0
2015110319;0.0
2015110320;0.0
2015110321;0.0
2015110322;0.0
2015110323;0.0
2015110400;0.0
2015110401;0.0
2015110402;0.0
2015110403;0.0
2015110404;0.0
2015110405;0.0
2015110406;0.0
2015110407;0.0
2015110408;0.0
2015110409;0.0
2015110410;0.965925925925926
2015110411;3.2503703703703706
